gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,overall,reading_score,writing_score,study_time,screen_time,health,going_out_with_friends,absences,failure,science_score,activities,romantic,travel_time,math_score
male,group E,some high school,standard,none,92,87,78,9,4,Poor,Never,2,1,64,Doesn't Participate,Yes,>60 min,80.25
male,group C,bachelor's degree,standard,completed,83,82,84,8,3,Average,Often,2,1,9,Doesn't Participate,No,>60 min,64.5
male,group D,associate's degree,standard,none,80,75,77,2,8,Poor,Sometimes,16,1,18,Doesn't Participate,Yes,30-60 min,62.5
male,group D,bachelor's degree,free/reduced,none,63,66,67,8,2,Average,Rarely,13,0,66,Doesn't Participate,No,>60 min,65.5
female,group D,some high school,standard,completed,64,60,74,2,1,Poor,Sometimes,12,0,56,Doesn't Participate,No,<15 min,63.5
male,group B,some college,standard,none,54,52,51,7,7,Average,Never,9,1,86,Doesn't Participate,No,<15 min,60.75
male,group C,associate's degree,standard,none,84,80,80,6,6,Excellent,Never,14,0,75,Doesn't Participate,Yes,15-30 min,79.75
male,group D,high school,free/reduced,completed,73,68,66,6,5,Excellent,Often,6,1,71,Participates,Yes,>60 min,69.5
female,group E,bachelor's degree,standard,none,80,83,83,6,4,Average,Never,10,0,68,Doesn't Participate,No,15-30 min,78.5
female,group D,high school,standard,none,56,52,55,2,4,Good,Often,17,0,71,Doesn't Participate,No,<15 min,58.5
male,group E,some college,standard,none,59,51,43,1,3,Average,Often,16,0,59,Doesn't Participate,Yes,>60 min,53.0
male,group D,some high school,standard,none,75,74,69,3,7,Excellent,Sometimes,13,1,19,Participates,No,15-30 min,59.25
male,group C,associate's degree,standard,none,85,76,71,8,3,Excellent,Often,15,1,85,Participates,No,>60 min,79.25
male,group E,associate's degree,standard,none,89,76,74,3,1,Average,Sometimes,16,1,96,Participates,No,<15 min,83.75
female,group B,high school,standard,completed,58,70,68,10,2,Excellent,Often,5,1,83,Doesn't Participate,No,>60 min,69.75
female,group B,high school,standard,none,65,64,62,5,1,Excellent,Rarely,20,1,27,Participates,Yes,<15 min,54.5
male,group C,high school,standard,none,68,60,53,10,8,Average,Rarely,3,1,33,Doesn't Participate,Yes,15-30 min,53.5
male,group A,some high school,standard,completed,47,49,49,9,6,Good,Sometimes,2,0,9,Participates,No,15-30 min,38.5
female,group D,some college,free/reduced,none,71,83,83,8,2,Good,Never,15,0,27,Participates,No,30-60 min,66.0
female,group B,some high school,standard,completed,60,70,70,7,2,Good,Rarely,7,0,54,Doesn't Participate,No,<15 min,63.5
male,group D,master's degree,standard,none,80,80,72,7,1,Excellent,Sometimes,1,1,78,Participates,Yes,<15 min,77.5
male,group D,high school,standard,none,54,52,52,9,1,Average,Rarely,11,1,28,Participates,No,15-30 min,46.5
female,group E,some college,standard,none,62,73,70,7,5,Poor,Often,17,1,30,Doesn't Participate,No,>60 min,58.75
female,group C,associate's degree,free/reduced,none,64,73,68,7,6,Average,Never,4,0,75,Participates,Yes,30-60 min,70.0
male,group C,associate's degree,standard,completed,78,77,77,9,8,Excellent,Rarely,14,0,27,Participates,No,30-60 min,64.75
female,group B,some college,standard,none,70,75,78,5,8,Excellent,Often,4,1,44,Participates,No,30-60 min,66.75
female,group C,master's degree,free/reduced,completed,65,81,81,6,1,Poor,Sometimes,14,1,38,Doesn't Participate,No,>60 min,66.25
female,group C,some high school,free/reduced,completed,64,79,77,2,3,Poor,Sometimes,14,0,83,Participates,No,<15 min,75.75
male,group C,some college,standard,completed,79,79,78,6,1,Poor,Never,2,0,28,Participates,Yes,30-60 min,66.0
female,group C,some high school,free/reduced,none,44,50,51,2,7,Poor,Often,2,1,62,Doesn't Participate,No,>60 min,51.75
female,group E,high school,standard,none,99,93,90,5,3,Excellent,Rarely,11,1,28,Participates,No,30-60 min,77.5
male,group D,high school,standard,none,76,73,68,10,3,Poor,Sometimes,10,1,19,Doesn't Participate,Yes,>60 min,59.0
male,group D,some high school,free/reduced,none,59,42,41,8,8,Average,Sometimes,7,0,37,Doesn't Participate,Yes,<15 min,44.75
female,group C,bachelor's degree,standard,none,63,75,81,5,5,Average,Sometimes,7,0,53,Doesn't Participate,Yes,>60 min,68.0
female,group D,high school,standard,none,69,72,77,7,5,Excellent,Never,10,0,85,Doesn't Participate,No,15-30 min,75.75
female,group D,associate's degree,standard,completed,88,92,95,5,3,Excellent,Sometimes,16,0,2,Doesn't Participate,No,30-60 min,69.25
female,group E,some college,free/reduced,none,71,76,70,3,5,Poor,Never,15,0,76,Doesn't Participate,Yes,<15 min,73.25
male,group C,bachelor's degree,standard,none,69,63,61,7,7,Excellent,Rarely,14,0,95,Participates,Yes,30-60 min,72.0
male,group C,some college,standard,none,58,49,42,2,4,Poor,Never,0,1,58,Participates,No,30-60 min,51.75
female,group D,associate's degree,free/reduced,none,47,53,58,5,5,Poor,Rarely,6,0,81,Participates,No,30-60 min,59.75
female,group D,some college,standard,none,65,70,71,8,8,Poor,Rarely,12,1,15,Doesn't Participate,Yes,15-30 min,55.25
male,group B,some college,standard,completed,88,85,76,5,6,Poor,Never,12,1,27,Doesn't Participate,No,15-30 min,69.0
male,group C,bachelor's degree,standard,none,83,78,73,1,6,Poor,Never,17,0,5,Doesn't Participate,Yes,<15 min,59.75
female,group C,some high school,standard,completed,85,92,93,6,5,Average,Rarely,16,1,61,Participates,No,30-60 min,82.75
female,group E,high school,standard,completed,59,63,75,7,8,Average,Rarely,1,0,35,Doesn't Participate,Yes,30-60 min,58.0
female,group C,some high school,free/reduced,none,65,86,80,9,5,Poor,Sometimes,4,1,5,Participates,No,>60 min,59.0
male,group B,bachelor's degree,free/reduced,none,73,56,57,7,8,Excellent,Never,2,1,99,Participates,Yes,30-60 min,71.25
male,group D,high school,standard,none,53,52,42,5,5,Poor,Rarely,8,1,67,Doesn't Participate,Yes,<15 min,53.5
male,group D,high school,standard,none,45,48,46,6,2,Average,Often,2,1,69,Doesn't Participate,No,>60 min,52.0
female,group D,bachelor's degree,free/reduced,none,73,79,84,3,7,Poor,Never,13,0,81,Participates,No,<15 min,79.25
female,group D,some college,free/reduced,completed,70,78,78,5,3,Average,Rarely,2,0,18,Doesn't Participate,Yes,30-60 min,61.0
female,group B,some high school,standard,none,37,46,46,1,7,Poor,Often,5,0,13,Participates,Yes,15-30 min,35.5
male,group B,associate's degree,standard,completed,81,82,82,4,1,Good,Sometimes,5,0,53,Participates,Yes,>60 min,74.5
male,group E,associate's degree,standard,completed,97,82,88,4,8,Excellent,Never,0,0,25,Doesn't Participate,No,>60 min,73.0
female,group B,some high school,standard,none,67,89,82,8,5,Excellent,Rarely,16,0,29,Doesn't Participate,No,15-30 min,66.75
male,group B,bachelor's degree,free/reduced,none,88,75,76,10,3,Poor,Sometimes,14,1,1,Participates,Yes,<15 min,60.0
male,group E,some high school,standard,completed,77,76,77,8,4,Poor,Sometimes,17,0,84,Doesn't Participate,No,15-30 min,78.5
male,group C,associate's degree,standard,none,76,70,68,4,3,Excellent,Rarely,8,1,61,Doesn't Participate,Yes,<15 min,68.75
male,group D,some high school,standard,none,86,73,70,9,2,Poor,Never,19,1,99,Doesn't Participate,Yes,<15 min,82.0
male,group C,some high school,standard,completed,63,60,57,8,1,Excellent,Sometimes,20,0,6,Participates,No,>60 min,46.5
female,group E,bachelor's degree,standard,none,65,73,75,10,6,Poor,Often,16,0,18,Participates,Yes,30-60 min,57.75
male,group D,high school,free/reduced,completed,78,77,80,1,8,Poor,Never,18,0,69,Doesn't Participate,Yes,30-60 min,76.0
male,group B,associate's degree,free/reduced,none,67,62,60,4,5,Poor,Rarely,10,0,92,Doesn't Participate,No,15-30 min,70.25
male,group A,some high school,standard,completed,46,41,43,3,4,Excellent,Often,1,1,78,Doesn't Participate,No,30-60 min,52.0
male,group E,associate's degree,standard,completed,71,74,68,5,7,Good,Often,0,1,82,Participates,Yes,>60 min,73.75
male,group C,high school,free/reduced,completed,40,46,50,5,3,Average,Often,6,1,57,Participates,Yes,15-30 min,48.25
male,group D,associate's degree,free/reduced,none,90,87,75,3,8,Poor,Never,1,0,39,Doesn't Participate,No,>60 min,72.75
male,group A,some college,free/reduced,completed,81,78,81,2,8,Excellent,Rarely,2,0,79,Doesn't Participate,No,15-30 min,79.75
male,group D,some high school,free/reduced,none,56,54,52,2,5,Average,Never,20,1,5,Participates,No,15-30 min,41.75
female,group C,associate's degree,standard,completed,67,84,81,10,2,Average,Sometimes,16,0,73,Participates,Yes,15-30 min,76.25
male,group B,associate's degree,standard,none,80,76,64,9,8,Excellent,Rarely,3,1,63,Participates,No,15-30 min,70.75
female,group C,associate's degree,standard,completed,74,75,83,1,3,Good,Rarely,15,0,38,Doesn't Participate,No,<15 min,67.5
male,group A,some college,standard,none,69,67,69,1,3,Poor,Often,3,1,52,Doesn't Participate,No,>60 min,64.25
male,group E,some college,standard,completed,99,87,81,4,1,Excellent,Sometimes,17,0,62,Doesn't Participate,Yes,>60 min,82.25
male,group C,some high school,standard,none,51,52,44,4,5,Good,Rarely,20,0,58,Doesn't Participate,Yes,30-60 min,51.25
female,group B,associate's degree,free/reduced,none,53,71,67,8,3,Average,Rarely,16,1,90,Doesn't Participate,No,<15 min,70.25
female,group D,high school,free/reduced,none,49,57,52,2,7,Excellent,Rarely,5,0,15,Participates,Yes,<15 min,43.25
female,group B,associate's degree,standard,none,73,76,80,7,8,Average,Never,11,0,71,Participates,Yes,>60 min,75.0
male,group B,bachelor's degree,standard,none,66,60,57,5,1,Good,Rarely,18,1,81,Participates,Yes,>60 min,66.0
male,group D,bachelor's degree,standard,completed,67,61,68,8,6,Poor,Never,9,0,28,Doesn't Participate,No,30-60 min,56.0
female,group C,associate's degree,free/reduced,completed,68,67,69,10,4,Average,Rarely,3,1,87,Participates,No,<15 min,72.75
female,group C,bachelor's degree,standard,completed,59,64,75,7,1,Poor,Rarely,13,0,70,Participates,No,15-30 min,67.0
male,group C,high school,standard,none,71,66,65,5,1,Excellent,Never,10,0,50,Doesn't Participate,No,<15 min,63.0
female,group D,master's degree,standard,completed,77,82,91,2,3,Good,Rarely,4,0,72,Participates,Yes,>60 min,80.5
male,group C,associate's degree,standard,none,83,72,78,5,7,Average,Never,1,1,83,Participates,No,<15 min,79.0
male,group B,bachelor's degree,standard,none,63,71,69,2,1,Good,Sometimes,15,1,32,Participates,Yes,>60 min,58.75
female,group D,associate's degree,free/reduced,none,56,65,63,6,5,Excellent,Sometimes,11,0,33,Participates,Yes,15-30 min,54.25
female,group C,high school,free/reduced,completed,67,79,84,2,1,Excellent,Never,13,1,66,Participates,No,30-60 min,74.0
female,group E,high school,standard,none,75,86,79,7,2,Poor,Often,14,1,50,Participates,Yes,15-30 min,72.5
female,group C,some college,standard,none,71,81,80,10,7,Good,Never,5,0,70,Participates,No,30-60 min,75.5
female,group C,some high school,free/reduced,none,43,53,53,2,5,Good,Never,0,0,34,Participates,Yes,>60 min,45.75
female,group C,high school,free/reduced,none,41,46,43,7,2,Excellent,Rarely,19,0,79,Participates,Yes,30-60 min,52.25
female,group C,some college,standard,none,82,90,94,2,2,Excellent,Sometimes,2,0,54,Participates,Yes,30-60 min,80.0
male,group C,some college,standard,none,61,61,62,4,7,Poor,Often,16,1,25,Doesn't Participate,No,<15 min,52.25
male,group A,some college,free/reduced,none,28,23,19,10,1,Poor,Often,15,0,27,Doesn't Participate,No,30-60 min,24.25
male,group C,associate's degree,standard,completed,82,75,77,9,8,Poor,Never,8,1,47,Doesn't Participate,Yes,>60 min,70.25
female,group B,some high school,standard,none,41,55,51,3,5,Good,Rarely,16,1,52,Participates,Yes,15-30 min,49.75
male,group C,high school,standard,none,71,60,61,1,6,Excellent,Sometimes,4,0,0,Participates,Yes,30-60 min,48.0
male,group C,associate's degree,standard,none,47,37,35,6,4,Good,Sometimes,5,1,93,Doesn't Participate,No,>60 min,53.0
male,group E,associate's degree,standard,completed,62,56,53,1,2,Average,Sometimes,10,1,68,Participates,Yes,<15 min,59.75
male,group B,associate's degree,standard,none,90,78,81,1,1,Average,Often,9,1,72,Doesn't Participate,No,>60 min,80.25
female,group C,bachelor's degree,standard,none,83,93,95,8,6,Average,Sometimes,5,0,92,Participates,Yes,30-60 min,90.75
female,group B,some college,free/reduced,none,61,68,66,9,3,Good,Rarely,7,1,37,Participates,No,15-30 min,58.0
male,group D,some high school,standard,completed,76,70,69,8,5,Excellent,Rarely,15,1,32,Participates,Yes,30-60 min,61.75
male,group C,associate's degree,standard,none,49,51,43,9,4,Average,Never,5,1,44,Participates,Yes,30-60 min,46.75
female,group B,some high school,free/reduced,none,24,38,27,4,6,Excellent,Rarely,7,0,37,Doesn't Participate,Yes,15-30 min,31.5
female,group D,some high school,free/reduced,completed,35,55,60,3,3,Excellent,Often,1,1,9,Doesn't Participate,Yes,>60 min,39.75
male,group C,high school,free/reduced,none,58,61,52,3,7,Poor,Never,19,0,16,Doesn't Participate,No,30-60 min,46.75
female,group C,high school,standard,none,61,73,63,1,3,Excellent,Never,18,0,99,Participates,Yes,15-30 min,74.0
female,group B,high school,standard,completed,69,76,74,6,1,Poor,Sometimes,0,1,27,Doesn't Participate,Yes,<15 min,61.5
male,group D,associate's degree,standard,completed,67,72,67,6,4,Average,Sometimes,8,0,12,Participates,Yes,30-60 min,54.5
male,group D,some college,standard,none,79,73,67,9,4,Good,Sometimes,0,1,96,Participates,No,>60 min,78.75
female,group C,high school,standard,none,72,80,75,4,8,Excellent,Rarely,15,0,64,Doesn't Participate,Yes,<15 min,72.75
male,group B,some college,standard,none,62,61,57,1,7,Average,Sometimes,14,0,26,Doesn't Participate,No,<15 min,51.5
female,group C,bachelor's degree,standard,completed,77,94,95,10,2,Poor,Often,13,1,53,Doesn't Participate,Yes,<15 min,79.75
male,group D,high school,free/reduced,none,75,74,66,10,7,Poor,Never,20,0,88,Doesn't Participate,No,<15 min,75.75
male,group E,associate's degree,standard,none,87,74,76,1,4,Good,Sometimes,11,1,53,Doesn't Participate,Yes,30-60 min,72.5
female,group B,bachelor's degree,standard,none,52,65,69,2,7,Excellent,Sometimes,11,1,0,Participates,No,>60 min,46.5
male,group E,some college,standard,none,66,57,52,2,7,Average,Often,2,0,70,Doesn't Participate,No,30-60 min,61.25
female,group C,some college,standard,completed,63,78,80,2,8,Good,Rarely,17,0,19,Doesn't Participate,No,15-30 min,60.0
female,group C,associate's degree,standard,none,46,58,57,7,8,Poor,Often,15,0,54,Participates,Yes,30-60 min,53.75
female,group C,some college,standard,none,59,71,70,1,8,Excellent,Sometimes,10,1,6,Participates,No,>60 min,51.5
female,group B,bachelor's degree,standard,none,61,72,70,5,1,Excellent,Rarely,7,1,44,Doesn't Participate,No,<15 min,61.75
male,group A,associate's degree,standard,none,63,61,61,7,3,Poor,Sometimes,10,1,61,Doesn't Participate,No,>60 min,61.5
female,group C,some college,free/reduced,completed,42,66,69,2,7,Poor,Sometimes,4,0,1,Participates,No,30-60 min,44.5
male,group D,some college,free/reduced,none,59,62,61,3,3,Average,Never,5,0,61,Participates,No,30-60 min,60.75
female,group D,some college,standard,none,80,90,89,10,7,Average,Rarely,2,0,37,Doesn't Participate,Yes,15-30 min,74.0
female,group B,high school,standard,none,58,62,59,9,8,Poor,Sometimes,13,1,2,Participates,No,30-60 min,45.25
male,group B,some high school,standard,completed,85,84,78,7,3,Average,Rarely,13,1,17,Doesn't Participate,No,<15 min,66.0
female,group C,some college,standard,none,52,58,58,6,3,Good,Rarely,11,1,86,Participates,No,<15 min,63.5
female,group D,some high school,free/reduced,none,27,34,32,5,7,Good,Rarely,7,0,93,Doesn't Participate,Yes,15-30 min,46.5
male,group C,some college,standard,none,59,60,58,10,3,Good,Never,8,0,39,Participates,Yes,30-60 min,54.0
male,group A,bachelor's degree,free/reduced,completed,49,58,60,7,3,Excellent,Never,1,0,39,Participates,No,>60 min,51.5
male,group C,high school,standard,completed,69,58,53,6,3,Average,Often,1,1,64,Doesn't Participate,Yes,15-30 min,61.0
male,group C,bachelor's degree,free/reduced,none,61,66,61,4,4,Excellent,Sometimes,16,0,40,Doesn't Participate,Yes,<15 min,57.0
female,group A,some high school,free/reduced,none,44,64,58,8,2,Average,Never,1,1,100,Doesn't Participate,No,15-30 min,66.5
female,group D,some high school,standard,none,73,84,85,9,2,Excellent,Often,9,1,27,Participates,No,>60 min,67.25
male,group E,some college,standard,none,84,77,71,1,5,Average,Never,9,1,57,Doesn't Participate,No,>60 min,72.25
female,group C,some college,free/reduced,completed,45,73,70,8,8,Excellent,Often,14,1,19,Doesn't Participate,Yes,<15 min,51.75
male,group D,some high school,standard,none,74,74,72,3,2,Excellent,Sometimes,7,0,84,Doesn't Participate,No,15-30 min,76.0
female,group D,some college,standard,completed,82,97,96,10,6,Good,Never,17,0,36,Participates,Yes,15-30 min,77.75
female,group D,bachelor's degree,standard,none,59,70,73,6,5,Good,Rarely,5,0,14,Participates,Yes,15-30 min,54.0
male,group E,associate's degree,free/reduced,none,46,43,41,9,2,Good,Often,14,0,70,Participates,No,<15 min,50.0
female,group D,some high school,standard,none,80,90,82,4,7,Excellent,Sometimes,11,1,36,Doesn't Participate,No,15-30 min,72.0
female,group D,master's degree,free/reduced,completed,85,95,100,3,7,Average,Rarely,4,1,5,Doesn't Participate,No,<15 min,71.25
female,group A,some high school,standard,none,71,83,77,5,6,Excellent,Rarely,5,0,65,Participates,Yes,15-30 min,74.0
male,group A,bachelor's degree,standard,none,66,64,62,10,7,Poor,Often,10,0,58,Doesn't Participate,No,30-60 min,62.5
female,group B,associate's degree,standard,none,80,86,83,8,4,Excellent,Rarely,18,1,29,Doesn't Participate,No,30-60 min,69.5
male,group C,associate's degree,standard,completed,87,100,95,2,2,Poor,Sometimes,2,1,54,Participates,No,30-60 min,84.0
male,group C,master's degree,free/reduced,none,79,81,71,4,4,Good,Never,6,0,47,Participates,No,15-30 min,69.5
female,group E,some high school,free/reduced,none,38,49,45,6,8,Average,Rarely,13,0,69,Participates,No,>60 min,50.25
female,group A,some high school,free/reduced,none,38,43,43,4,6,Poor,Sometimes,8,1,69,Participates,No,<15 min,48.25
female,group E,some college,standard,none,67,76,75,6,7,Average,Often,2,1,65,Participates,No,<15 min,70.75
female,group E,bachelor's degree,standard,none,64,73,70,5,7,Poor,Never,16,1,18,Participates,Yes,30-60 min,56.25
female,group C,associate's degree,free/reduced,none,57,78,67,8,6,Excellent,Often,2,1,72,Doesn't Participate,No,>60 min,68.5
female,group D,high school,standard,none,62,64,64,3,2,Poor,Never,14,1,32,Doesn't Participate,No,<15 min,55.5
male,group D,master's degree,standard,none,73,70,75,7,7,Poor,Sometimes,19,1,97,Doesn't Participate,Yes,30-60 min,78.75
male,group E,some high school,free/reduced,completed,73,67,59,5,2,Excellent,Sometimes,15,1,21,Doesn't Participate,Yes,15-30 min,55.0
female,group D,some college,standard,none,77,68,77,8,3,Poor,Often,9,0,37,Doesn't Participate,Yes,>60 min,64.75
male,group E,some college,standard,none,76,67,67,5,1,Excellent,Never,11,1,32,Participates,Yes,<15 min,60.5
male,group C,associate's degree,standard,completed,57,54,56,7,1,Poor,Often,7,0,17,Doesn't Participate,Yes,30-60 min,46.0
female,group C,some high school,standard,completed,65,74,77,10,5,Poor,Never,19,0,8,Participates,No,15-30 min,56.0
male,group A,high school,free/reduced,none,48,45,41,7,5,Excellent,Often,20,1,95,Participates,Yes,15-30 min,57.25
female,group B,high school,free/reduced,none,50,67,63,9,3,Poor,Sometimes,10,1,60,Doesn't Participate,No,>60 min,60.0
female,group C,associate's degree,standard,none,85,89,95,9,4,Excellent,Often,3,1,67,Participates,Yes,>60 min,84.0
male,group B,some high school,standard,none,74,63,57,9,7,Poor,Never,17,0,8,Participates,Yes,15-30 min,50.5
male,group D,some high school,standard,none,60,59,54,1,2,Average,Sometimes,7,0,42,Participates,Yes,>60 min,53.75
female,group C,some high school,standard,completed,59,54,67,4,6,Excellent,Sometimes,4,0,32,Participates,No,>60 min,53.0
male,group A,some college,standard,none,53,43,43,4,2,Excellent,Often,11,0,80,Doesn't Participate,No,<15 min,54.75
female,group A,some college,free/reduced,none,49,65,55,2,7,Average,Never,12,0,71,Participates,Yes,<15 min,60.0
female,group D,high school,standard,completed,88,99,100,9,7,Good,Rarely,8,0,95,Participates,Yes,<15 min,95.5
female,group C,high school,standard,none,54,59,62,8,4,Poor,Sometimes,12,0,64,Doesn't Participate,Yes,15-30 min,59.75
female,group C,some high school,standard,none,63,73,68,4,4,Excellent,Often,11,1,41,Doesn't Participate,No,15-30 min,61.25
male,group B,associate's degree,standard,completed,65,65,63,9,7,Average,Often,12,1,44,Participates,Yes,15-30 min,59.25
female,group B,associate's degree,standard,none,82,80,77,6,2,Poor,Sometimes,14,0,29,Participates,No,30-60 min,67.0
female,group D,high school,free/reduced,completed,52,57,56,1,7,Excellent,Never,3,1,38,Participates,No,>60 min,50.75
male,group D,associate's degree,standard,completed,87,84,85,5,5,Excellent,Often,1,0,37,Participates,No,<15 min,73.25
female,group D,master's degree,standard,completed,70,71,74,9,3,Poor,Never,7,1,72,Participates,Yes,30-60 min,71.75
male,group E,some college,standard,completed,84,83,78,9,7,Excellent,Sometimes,2,0,51,Doesn't Participate,Yes,15-30 min,74.0
male,group D,associate's degree,standard,none,71,66,60,10,6,Poor,Rarely,10,0,61,Participates,Yes,<15 min,64.5
male,group B,some high school,standard,completed,63,67,67,2,2,Poor,Rarely,4,0,57,Doesn't Participate,Yes,30-60 min,63.5
female,group C,bachelor's degree,free/reduced,completed,51,72,79,7,1,Poor,Often,3,1,62,Participates,No,>60 min,66.0
male,group E,high school,standard,none,84,73,69,3,5,Excellent,Rarely,2,0,39,Participates,No,30-60 min,66.25
male,group C,bachelor's degree,standard,completed,71,74,68,4,3,Poor,Never,12,1,68,Participates,Yes,15-30 min,70.25
male,group C,associate's degree,standard,none,74,73,67,2,7,Average,Never,4,0,48,Participates,Yes,15-30 min,65.5
male,group D,some college,standard,none,68,59,62,5,7,Good,Sometimes,17,1,99,Participates,Yes,15-30 min,72.0
male,group E,high school,free/reduced,completed,57,56,54,2,8,Poor,Sometimes,14,0,76,Participates,No,>60 min,60.75
female,group C,associate's degree,free/reduced,completed,82,93,93,6,2,Excellent,Rarely,13,0,82,Participates,Yes,<15 min,87.5
female,group D,high school,standard,completed,57,58,64,9,7,Poor,Often,16,1,73,Participates,No,30-60 min,63.0
female,group D,master's degree,free/reduced,completed,47,58,67,7,2,Average,Sometimes,2,1,55,Doesn't Participate,Yes,<15 min,56.75
female,group A,some high school,standard,completed,59,85,80,5,7,Good,Often,14,1,71,Participates,No,30-60 min,73.75
male,group B,some college,free/reduced,none,41,39,34,5,5,Poor,Sometimes,7,1,23,Doesn't Participate,Yes,15-30 min,34.25
female,group C,some college,free/reduced,none,62,67,62,5,2,Average,Sometimes,2,0,41,Participates,Yes,30-60 min,58.0
male,group C,bachelor's degree,standard,none,86,83,86,4,1,Excellent,Sometimes,13,0,79,Participates,Yes,<15 min,83.5
male,group C,some high school,free/reduced,none,69,71,65,4,1,Good,Rarely,3,0,71,Participates,No,30-60 min,69.0
male,group A,some high school,free/reduced,none,65,59,53,7,5,Poor,Often,20,1,21,Doesn't Participate,No,30-60 min,49.5
male,group C,some high school,free/reduced,none,68,63,54,6,1,Average,Often,17,1,42,Participates,Yes,<15 min,56.75
male,group C,associate's degree,free/reduced,none,64,66,59,5,7,Excellent,Rarely,4,1,80,Doesn't Participate,Yes,>60 min,67.25
female,group C,high school,standard,none,61,72,70,9,1,Good,Often,14,1,67,Doesn't Participate,No,>60 min,67.5
male,group C,high school,standard,none,61,56,55,4,8,Average,Sometimes,6,1,70,Participates,Yes,<15 min,60.5
female,group A,some high school,free/reduced,none,47,59,50,10,1,Good,Often,18,1,1,Doesn't Participate,No,>60 min,39.25
male,group C,some high school,standard,none,73,66,66,1,1,Good,Often,1,1,77,Participates,No,>60 min,70.5
male,group C,some college,free/reduced,completed,50,48,53,6,3,Excellent,Often,10,1,36,Doesn't Participate,Yes,30-60 min,46.75
male,group D,associate's degree,standard,none,75,68,64,10,5,Poor,Rarely,3,1,35,Doesn't Participate,No,>60 min,60.5
male,group D,associate's degree,free/reduced,none,75,66,73,2,2,Good,Rarely,1,0,1,Doesn't Participate,No,>60 min,53.75
male,group C,high school,standard,none,70,56,51,10,6,Good,Rarely,18,0,62,Participates,Yes,30-60 min,59.75
male,group D,some high school,standard,completed,89,88,82,6,3,Poor,Often,14,0,23,Participates,No,<15 min,70.5
female,group C,some college,standard,completed,67,81,79,5,1,Average,Never,16,1,92,Doesn't Participate,No,30-60 min,79.75
female,group D,high school,standard,none,78,81,80,2,8,Good,Sometimes,18,0,16,Participates,Yes,<15 min,63.75
female,group A,some high school,free/reduced,none,59,73,69,4,5,Good,Sometimes,13,1,24,Doesn't Participate,Yes,30-60 min,56.25
female,group B,associate's degree,standard,none,73,83,76,2,5,Excellent,Never,7,0,47,Participates,No,15-30 min,69.75
male,group A,some high school,free/reduced,none,79,82,73,2,2,Excellent,Often,9,0,20,Doesn't Participate,No,<15 min,63.5
female,group C,some high school,standard,completed,67,74,77,4,1,Good,Often,20,1,81,Doesn't Participate,Yes,<15 min,74.75
male,group D,some college,free/reduced,none,69,66,60,8,6,Poor,Never,4,1,92,Doesn't Participate,No,15-30 min,71.75
male,group C,high school,standard,completed,86,81,80,7,3,Poor,Sometimes,13,0,89,Doesn't Participate,No,>60 min,84.0
male,group B,high school,standard,none,47,46,42,2,8,Poor,Rarely,1,0,15,Participates,Yes,15-30 min,37.5
male,group B,associate's degree,standard,none,81,73,72,6,3,Excellent,Never,7,1,87,Doesn't Participate,Yes,<15 min,78.25
female,group C,some college,free/reduced,completed,64,85,85,6,1,Good,Rarely,2,0,45,Participates,Yes,>60 min,69.75
female,group E,some college,standard,none,100,92,97,10,8,Good,Sometimes,18,1,64,Doesn't Participate,No,30-60 min,88.25
female,group C,associate's degree,free/reduced,none,65,77,74,1,5,Good,Rarely,10,0,78,Doesn't Participate,Yes,30-60 min,73.5
male,group C,some college,free/reduced,none,65,58,49,6,8,Excellent,Rarely,8,0,87,Participates,No,<15 min,64.75
female,group C,associate's degree,free/reduced,none,53,61,62,10,3,Poor,Rarely,3,1,49,Participates,No,<15 min,56.25
male,group C,bachelor's degree,free/reduced,none,37,56,47,6,2,Poor,Rarely,2,0,44,Participates,No,15-30 min,46.0
female,group D,bachelor's degree,standard,none,79,89,89,6,3,Average,Often,12,1,63,Doesn't Participate,Yes,15-30 min,80.0
male,group D,associate's degree,free/reduced,none,53,54,48,1,2,Poor,Sometimes,11,1,29,Doesn't Participate,Yes,<15 min,46.0
female,group E,bachelor's degree,standard,none,100,100,100,10,5,Good,Often,6,1,17,Participates,Yes,>60 min,79.25
male,group B,high school,standard,completed,72,65,68,3,7,Average,Rarely,1,0,49,Doesn't Participate,No,30-60 min,63.5
male,group C,bachelor's degree,free/reduced,none,53,58,55,2,3,Excellent,Never,9,1,31,Doesn't Participate,No,15-30 min,49.25
male,group B,some college,free/reduced,none,54,54,45,7,6,Average,Often,0,0,34,Participates,Yes,30-60 min,46.75
female,group E,some college,standard,none,71,70,76,9,7,Average,Rarely,0,1,79,Doesn't Participate,Yes,>60 min,74.0
female,group C,some college,free/reduced,none,77,90,91,10,5,Excellent,Sometimes,11,1,99,Doesn't Participate,No,15-30 min,89.25
male,group A,bachelor's degree,standard,completed,75,58,62,9,6,Good,Never,6,0,90,Doesn't Participate,Yes,>60 min,71.25
female,group C,some college,standard,none,84,87,91,1,3,Excellent,Often,17,1,56,Participates,No,15-30 min,79.5
female,group D,associate's degree,free/reduced,none,26,31,38,1,5,Average,Sometimes,2,1,87,Participates,No,>60 min,45.5
male,group A,high school,free/reduced,completed,72,67,65,5,6,Average,Never,16,0,43,Doesn't Participate,Yes,>60 min,61.75
